assembly_bio_sample_accession	scientific_name	taxonomic_group	genus	family	order	class	taxon_rank	pacbio	nanopore	project	assembly_id_pri	assembly_id_alt	contig_n50_pri	contig_n50_alt	scaffold_n50_pri	scaffold_n50_alt	assembly_name_pri	assembly_name_alt	gcf_pri	gcf_alt	assembly_span_pri	assembly_span_alt	assembly_level_pri	assembly_level_alt	scientific_name_for_timetree
SAMN22787412	Melospiza georgiana	bird	Melospiza	Passerellidae	Passeriformes	Aves	species	true	false	VGP	GCA_028018845.1	GCA_028019105.1	10446106	4188454	74254230	NA	bMelGeo1.pri	bMelGeo1.alt	GCF_028018845.1	NA	1162015399	1075048352	Chromosome	Contig	Melospiza georgiana
SAMN23046545	Carassius gibelio	ray-finned fish	Carassius	Cyprinidae	Cypriniformes	Actinopteri	species	true	false	Other	GCA_023724105.1	GCA_023724085.1	5134100	4559442	30677984	30042024	carGib1.2-hapl.c	carGib1.2-hapl.b	GCF_023724105.1	NA	1583334954	1538918925	Complete Genome	Complete Genome	Carassius gibelio
SAMN23235441	Panthera pardus	mammal	Panthera	Felidae	Carnivora	Mammalia	species	true	false	Other	GCA_024362965.1	GCA_024363415.1	22236240	1099946	126810544	1099946	ASM2436296v1	ASM2436341v1	GCF_024362965.1	NA	2441326314	2280641841	Scaffold	Scaffold	Panthera pardus
SAMN23391104	Lynx rufus	mammal	Lynx	Felidae	Carnivora	Mammalia	species	true	false	CCGP	GCA_022079265.1	GCA_022079275.1	66217191	97441	142134035	107758	mLynRuf1.p	mLynRuf1.a	GCF_022079265.1	NA	2439239374	3320153114	Scaffold	Scaffold	Lynx rufus
SAMN23532249	Phaethornis superciliosus	bird	Phaethornis	Trochilidae	Apodiformes	Aves	species	true	false	VGP	GCA_023637945.1	GCA_023637925.1	35194150	18938575	72710393	NA	DD_ASM_B1	DD_ASM_B1a	NA	NA	1020112811	1014956223	Scaffold	Contig	Phaethornis superciliosus
SAMN23846333	Bos indicus	mammal	Bos	Bovidae	Artiodactyla	Mammalia	species	true	false	Other	GCA_030270825.1	GCA_030270865.1	5943769	5469797	103198692	103564668	ASM3027082v1	ASM3027086v1	NA	NA	2615965804	2623800349	Chromosome	Chromosome	Bos indicus
SAMN24116476	Desmodus rotundus	mammal	Desmodus	Phyllostomidae	Chiroptera	Mammalia	species	true	false	Other	GCA_022682495.2	GCA_022682395.2	6739964	7563979	160127860	160112692	HLdesRot8A.1	HLdesRot8B.1	NA	NA	2119704833	1969917660	Chromosome	Chromosome	Desmodus rotundus
SAMN24199108	Gopherus flavomarginatus	reptile	Gopherus	Testudinidae	Testudines	NA	species	true	false	VGP	GCA_025201925.1	GCA_025201965.1	6917139	6498827	162938067	133543772	rGopFla2.mat.asm	rGopFla2.pat.asm	GCF_025201925.1	NA	2460542086	2584697711	Chromosome	Scaffold	Gopherus flavomarginatus
SAMN24505262	Laterallus jamaicensis coturniculus	bird	Laterallus	Rallidae	Gruiformes	Aves	subspecies	true	false	CCGP	GCA_022605575.1	GCA_022605925.1	7445194	781495	21403927	5828180	bLatJam1.0.p	bLatJam1.0.a	NA	NA	1391388821	1211372722	Scaffold	Scaffold	Laterallus jamaicensis coturniculus
SAMN24505263	Rallus limicola	bird	Rallus	Rallidae	Gruiformes	Aves	species	true	false	CCGP	GCA_022605955.1	GCA_022605895.1	11906378	2459492	25302669	9049408	bRalLim1.0.p	bRalLim1.0.a	NA	NA	1395579105	1425697905	Scaffold	Scaffold	Rallus limicola
SAMN24662200	Epinephelus malabaricus	ray-finned fish	Epinephelus	Serranidae	Perciformes	Actinopteri	species	true	false	Other	GCA_037127435.1	GCA_037127445.1	4730001	4622984	43315830	43165909	ASM3712743v1	ASM3712744v1	NA	NA	1107127894	1108198531	Scaffold	Scaffold	Epinephelus malabaricus
SAMN24818160	Arizona elegans	reptile	Arizona	Colubridae	Squamata	Lepidosauria	species	true	false	CCGP	GCA_022577455.1	GCA_022578425.1	54101938	34039	105945816	38559	rAriEle1.0.p	rAriEle1.0.a	NA	NA	1842534626	2206698359	Scaffold	Scaffold	Arizona elegans
SAMN25050720	Squalius cephalus	ray-finned fish	Squalius	Leuciscidae	Cypriniformes	Actinopteri	species	true	false	Euro-Fish	GCA_022829025.1	GCA_022829065.1	15051122	876097	39496901	876097	ASM2282902v1	ASM2282906v1	NA	NA	1039907101	986916285	Chromosome	Scaffold	Squalius cephalus
SAMN25064631	Vimba vimba	ray-finned fish	Vimba	Leuciscidae	Cypriniformes	Actinopteri	species	true	false	Euro-Fish	GCA_022828995.1	GCA_022829075.1	7031647	399711	40102238	NA	ASM2282899v1	ASM2282907v1	NA	NA	1054310786	789582148	Chromosome	Contig	Vimba vimba
SAMN25144835	Lagopus muta	bird	Lagopus	Phasianidae	Galliformes	Aves	species	true	false	VGP	GCA_023343835.1	GCA_023344045.1	17905263	619110	71229700	619935	bLagMut1 primary	bLagMut1 alternate	GCF_023343835.1	NA	1026755127	923340374	Chromosome	Scaffold	Lagopus muta
SAMN25211113	Zingel zingel	ray-finned fish	Zingel	Percidae	Perciformes	Actinopteri	species	true	false	Euro-Fish	GCA_023566125.1	GCA_023566415.1	10133874	258760	37573842	NA	ASM2356612v1	ASM2356641v1	NA	NA	919352573	823976761	Chromosome	Contig	Zingel zingel
SAMN25220526	Romanogobio albipinnatus	ray-finned fish	Romanogobio	Gobionidae	Cypriniformes	Actinopteri	species	true	false	Euro-Fish	GCA_023566225.1	GCA_023566215.1	12526464	965502	55298942	NA	ASM2356622v1	ASM2356621v1	NA	NA	1428567521	1388937552	Chromosome	Contig	Romanogobio albipinnatus
SAMN25656429	Semicossyphus pulcher	ray-finned fish	Semicossyphus	Labridae	Labriformes	Actinopteri	species	true	false	CCGP	GCA_022749685.1	GCA_022749735.1	31948211	178023	32091781	1666853	fSemPul1.0.p	fSemPul1.0.a	NA	NA	794106426	1095728264	Scaffold	Scaffold	Semicossyphus pulcher
SAMN25872349	Crotalus helleri	reptile	Crotalus	Viperidae	Squamata	Lepidosauria	species	true	false	CCGP	GCA_024509115.1	GCA_024509165.1	10371895	68097879	110762666	68097879	rCroOre1.0.p	rCroOre1.a	NA	NA	1564777875	1628461744	Scaffold	Scaffold	Crotalus helleri
SAMN25872352	Cebidichthys violaceus	ray-finned fish	Cebidichthys	Stichaeidae	Perciformes	Actinopteri	species	true	false	CCGP	GCA_023349555.1	GCA_023349535.1	1006396	1119041	16359613	12913723	fCebVio1.0.p	fCebVio1.0.a	NA	NA	575643635	606177218	Scaffold	Scaffold	Cebidichthys violaceus
SAMN25872353	Elgaria multicarinata webbii	reptile	Elgaria	Anguidae	Squamata	Lepidosauria	subspecies	true	false	CCGP	GCA_023053635.2	GCA_023053675.2	85762895	76551155	121985326	115422351	rElgMul1.1.pri	rElgMul1.1.alt	GCF_023053635.1	NA	1790500004	1810359265	Chromosome	Scaffold	Elgaria multicarinata webbii
SAMN25872408	Aspidoscelis tigris stejnegeri	reptile	Aspidoscelis	Teiidae	Squamata	Lepidosauria	subspecies	true	false	CCGP	GCA_023333525.1	GCA_023333555.1	30424254	49541617	93690953	98364735	rAspTig1.0.p	rAspTig1.0.a	NA	NA	1335650587	1675887475	Scaffold	Scaffold	Aspidoscelis tigris stejnegeri
SAMN25872410	Diadophis punctatus similis	reptile	Diadophis	Dipsadidae	Squamata	Lepidosauria	subspecies	true	false	CCGP	GCA_023053685.1	GCA_023053665.1	8013852	6581262	83654930	65413798	rDiaPun1.0.p	rDiaPun1.0.a	NA	NA	1783006549	1577714162	Scaffold	Scaffold	Diadophis punctatus similis
SAMN25872472	Actinemys pallida	reptile	Actinemys	Emydidae	Testudines	NA	species	true	false	CCGP	GCA_023634205.1	GCA_023634275.1	93983910	74102736	140349533	138763108	rActPal1.0.p	rActPal1.0.a	NA	NA	2326911222	2348990949	Scaffold	Scaffold	Actinemys pallida
SAMN25872474	Agelaius tricolor	bird	Agelaius	Icteridae	Passeriformes	Aves	species	true	false	CCGP	GCA_023055355.1	GCA_023055385.1	22601135	21939630	47739980	63409879	bAgeTri1.0.p	bAgeTri1.0.a	NA	NA	1157591681	1142379013	Scaffold	Scaffold	Agelaius tricolor
SAMN26209533	Thymallus thymallus	ray-finned fish	Thymallus	Salmonidae	Salmoniformes	Actinopteri	species	true	false	Other	GCA_023634145.1	GCA_023634405.1	2277286	258233	36425599	258729	fThyThy.pri.20220222	fThyThy.alt.20220222	NA	NA	1760576121	1891756340	Chromosome	Scaffold	Thymallus thymallus
SAMN26292693	Cottus gobio	ray-finned fish	Cottus	Cottidae	Perciformes	Actinopteri	species	true	false	Euro-Fish	GCA_023566465.1	GCA_023566455.1	10505243	863704	28016991	NA	ASM2356646v1	ASM2356645v1	NA	NA	645607472	622296252	Chromosome	Contig	Cottus gobio
SAMN26292694	Gymnocephalus cernua	ray-finned fish	Gymnocephalus	Percidae	Perciformes	Actinopteri	species	true	false	Other	GCA_023631565.1	GCA_023634095.1	10943015	250082	38241521	NA	fGymCer.pri	fGymCer.alt	NA	NA	904342373	680893978	Chromosome	Contig	Gymnocephalus cernua
SAMN26367981	Thamnophis sirtalis fitchi	reptile	Thamnophis	Colubridae	Squamata	Lepidosauria	subspecies	true	false	CCGP	GCA_029207655.1	GCA_029207665.1	14321763	11631205	83410609	86752743	rThaSir1.0.hap2	rThaSir1.0.hap1	NA	NA	1683046358	1620948005	Scaffold	Scaffold	Thamnophis sirtalis fitchi
SAMN26367999	Charina bottae	reptile	Charina	Boidae	Squamata	Lepidosauria	species	true	false	CCGP	GCA_023362775.1	GCA_023362785.1	37334273	38502584	97015800	107200052	rChaBot1.0.p	rChaBot1.0.a	NA	NA	1804921757	1703974979	Scaffold	Scaffold	Charina bottae
SAMN26368113	Clinocottus analis	ray-finned fish	Clinocottus	Cottidae	Perciformes	Actinopteri	species	true	false	CCGP	GCA_023055335.1	GCA_023055415.1	9145431	9433512	21001540	20474872	fCliAna1.0.p	fCliAna1.0.a	NA	NA	538100726	534899999	Scaffold	Scaffold	Clinocottus analis
SAMN26747300	Sander lucioperca	ray-finned fish	Sander	Percidae	Perciformes	Actinopteri	species	true	false	Euro-Fish	GCA_023718385.1	GCA_023718345.1	7645391	297624	38144777	NA	ASM2371838v1	ASM2371834v1	NA	NA	898254744	641927917	Chromosome	Contig	Sander lucioperca
SAMN26894057	Callipepla californica brunnescens	bird	Callipepla	Odontophoridae	Galliformes	Aves	subspecies	true	false	CCGP	GCA_023055505.1	GCA_023055725.1	5506990	3481594	19408658	12585889	bCalCai1.0.p	bCalCai1.0.a	NA	NA	1085331016	1399796956	Scaffold	Scaffold	Callipepla californica brunnescens
SAMN27021044	Clarias gariepinus	ray-finned fish	Clarias	Clariidae	Siluriformes	Actinopteri	species	true	false	Other	GCA_024256435.1	GCA_024256465.1	32098287	19532794	34021760	33187444	CGAR_Hap1	CGAR_Hap2	NA	NA	972641408	954244515	Chromosome	Chromosome	Clarias gariepinus
SAMN27480378	Sceloporus occidentalis	reptile	Sceloporus	Phrynosomatidae	Squamata	Lepidosauria	species	true	false	CCGP	GCA_023333645.1	GCA_023333635.1	18989278	17628953	98418489	38771511	rSceOcc1.0.p	rSceOcc1.0.a	NA	NA	2856339201	3186658811	Scaffold	Scaffold	Sceloporus occidentalis
SAMN28052917	Channallabes apus	ray-finned fish	Channallabes	Clariidae	Siluriformes	Actinopteri	species	true	false	Other	GCA_030522415.1	GCA_030522405.1	8077467	3630853	42717981	NA	ASM3052241v1	ASM3052240v1	NA	NA	1164854870	1133595830	Chromosome	Contig	Channallabes apus
SAMN28408464	Vipera latastei	reptile	Vipera	Viperidae	Squamata	Lepidosauria	species	true	false	VGP	GCA_024294585.1	GCA_024294605.1	44839567	560665	222489854	560665	rVipLat1.pri	rVipLat1.alt	NA	NA	1631568913	1549880332	Chromosome	Scaffold	Vipera latastei
SAMN28408465	Spheniscus humboldti	bird	Spheniscus	Spheniscidae	Sphenisciformes	Aves	species	true	false	VGP	GCA_027474245.1	GCA_027474345.1	13936613	536208	89079306	536208	bSphHub1.pri	bSphHub1.alt	NA	NA	1358357718	1159977626	Chromosome	Scaffold	Spheniscus humboldti
SAMN28408467	Spea bombifrons	amphibian	Spea	Pelobatidae	Anura	Amphibia	species	true	false	VGP	GCA_027358695.2	GCA_027382365.2	21170366	2001516	114150385	NA	aSpeBom1.2.pri	aSpeBom1.2.alt	GCF_027358695.1	NA	987655159	785569511	Chromosome	Contig	Spea bombifrons
SAMN28408555	Nycticebus coucang	mammal	Nycticebus	Lorisidae	Primates	Mammalia	species	true	false	VGP	GCA_027406575.1	GCA_027406535.1	41197715	1489709	135917784	NA	mNycCou1.pri	mNycCou1.alt	GCF_027406575.1	NA	2917154053	2692941978	Chromosome	Contig	Nycticebus coucang
SAMN28421630	Ammospiza caudacuta	bird	Ammospiza	Passerellidae	Passeriformes	Aves	species	true	false	VGP	GCA_027887145.1	GCA_027887135.1	8252193	804968	78443464	NA	bAmmCau1.pri	bAmmCau1.alt	GCF_027887145.1	NA	1241209685	1166743317	Chromosome	Contig	Ammospiza caudacuta
SAMN28421656	Ammospiza nelsoni	bird	Ammospiza	Passerellidae	Passeriformes	Aves	species	true	false	VGP	GCA_027579445.1	GCA_027579665.1	12036358	803373	74723840	NA	bAmmNel1.pri	bAmmNel1.alt	GCF_027579445.1	NA	1185463352	1033298713	Chromosome	Contig	Ammospiza nelsoni
SAMN28453209	Neoarius graeffei	ray-finned fish	Neoarius	Ariidae	Siluriformes	Actinopteri	species	true	false	VGP	GCA_027579695.1	GCA_027579805.1	14859289	781597	83992109	781788	fNeoGra1.pri	fNeoGra1.alt	GCF_027579695.1	NA	2341916362	2195086485	Chromosome	Scaffold	Neoarius graeffei
SAMN28453576	Haemorhous mexicanus	bird	Haemorhous	Fringillidae	Passeriformes	Aves	species	true	false	VGP	GCA_027477595.1	GCA_027406555.1	16787335	4481475	77212160	4481475	bHaeMex1.pri	bHaeMex1.alt	GCF_027477595.1	NA	1148216196	1039351984	Chromosome	Scaffold	Haemorhous mexicanus
SAMN28454388	Acridotheres tristis	bird	Acridotheres	Sturnidae	Passeriformes	Aves	species	true	false	VGP	GCA_027559615.1	GCA_027559525.1	7308823	1397630	75254055	1397630	bAcrTri1.pri	bAcrTri1.alt	NA	NA	1193400391	969356965	Chromosome	Scaffold	Acridotheres tristis
SAMN28688204	Falco cherrug	bird	Falco	Falconidae	Falconiformes	Aves	species	true	false	VGP	GCA_023634085.1	GCA_023634115.1	21245687	1037791	92426045	1037791	bFalChe1.pri	bFalChe1.alt	GCF_023634085.1	NA	1309366964	1210282093	Chromosome	Scaffold	Falco cherrug
SAMN28688289	Falco biarmicus	bird	Falco	Falconidae	Falconiformes	Aves	species	true	false	VGP	GCA_023638135.1	GCA_023634305.1	24892811	1820461	91472507	NA	bFalBia1.pri	bFalBia1.alt	GCF_023638135.1	NA	1285492283	1202443328	Chromosome	Contig	Falco biarmicus
SAMN28688290	Falco peregrinus	bird	Falco	Falconidae	Falconiformes	Aves	species	true	false	VGP	GCA_023634155.1	GCA_023634185.1	15744644	1477176	93682670	NA	bFalPer1.pri	bFalPer1.alt	GCF_023634155.1	NA	1311580791	1175509191	Chromosome	Contig	Falco peregrinus
SAMN28772710	Pseudorasbora parva	ray-finned fish	Pseudorasbora	Gobionidae	Cypriniformes	Actinopteri	species	true	false	Other	GCA_024679245.1	GCA_024679315.1	4648668	471624	47421265	NA	ASM2467924v1	ASM2467931v1	GCF_024679245.1	NA	1228852188	999233205	Chromosome	Contig	Pseudorasbora parva
SAMN28911188	Pleurodeles waltl	amphibian	Pleurodeles	Salamandridae	Caudata	Amphibia	species	true	false	Other	GCA_031143425.1	GCA_031142525.1	20474000	20742107	1360680797	1198365431	aPleWal1.hap1.20221129	aPleWal1.hap2.20221129	NA	NA	19767450834	19899914163	Chromosome	Chromosome	Pleurodeles waltl
SAMN29044059	Setophaga petechia	bird	Setophaga	Parulidae	Passeriformes	Aves	species	true	false	CCGP	GCA_024362935.1	GCA_024372515.1	6807045	8368636	21188473	17928154	bSetPet1.0.p	bSetPet1.0.a	NA	NA	1222368263	1249765916	Scaffold	Scaffold	Setophaga petechia
SAMN29044251	Perognathus longimembris	mammal	Perognathus	Heteromyidae	Rodentia	Mammalia	species	true	false	CCGP	GCA_024363575.2	GCA_024363435.2	11606741	10098643	74284026	73175689	mPerLon1.1.hap1	mPerLon1.1.hap2	NA	NA	2346744926	2257239605	Scaffold	Scaffold	Perognathus longimembris
SAMN29044276	Peromyscus maniculatus sonoriensis	mammal	Peromyscus	Cricetidae	Rodentia	Mammalia	subspecies	true	false	CCGP	GCA_026229955.1	GCA_026167925.1	10714300	12308238	43824230	63956138	mPerMan1.0.p	mPerMan1.0.a	NA	NA	2847723650	2625495359	Scaffold	Scaffold	Peromyscus maniculatus sonoriensis
SAMN29046532	Dipodomys merriami	mammal	Dipodomys	Heteromyidae	Rodentia	Mammalia	species	true	false	CCGP	GCA_024711535.1	GCA_024711525.1	7443915	6846911	13535215	12075247	mDipMer1.0.p	mDipMer1.0.a	NA	NA	3365237443	2921273682	Scaffold	Scaffold	Dipodomys merriami
SAMN29046554	Phrynosoma blainvillii	reptile	Phrynosoma	Phrynosomatidae	Squamata	Lepidosauria	species	true	false	CCGP	GCA_026167975.1	GCA_026167985.1	62272472	72389463	352551559	352464347	rPhrBla1.0.hap2	rPhrBla1.0.hap1	NA	NA	1968358621	2210317752	Scaffold	Scaffold	Phrynosoma blainvillii
SAMN29046565	Ursus americanus	mammal	Ursus	Ursidae	Carnivora	Mammalia	species	true	false	CCGP	GCA_024610735.1	GCA_024610745.1	58859121	43280	67550933	NA	mUrsAme1.0.p	mUrsAme1.0.a	NA	NA	2524248097	2885111784	Scaffold	Contig	Ursus americanus
SAMN29174328	Elephas maximus indicus	mammal	Elephas	Elephantidae	Proboscidea	Mammalia	subspecies	true	false	VGP	GCA_024166365.1	GCA_024166345.1	87987108	1512750	127432672	NA	mEleMax1 primary haplotype	mEleMax1 alternate haplotype	GCF_024166365.1	NA	3401247148	2952809375	Chromosome	Contig	Elephas maximus indicus
SAMN29628500	Chrysolophus pictus	bird	Chrysolophus	Phasianidae	Galliformes	Aves	species	true	false	Other	GCA_037305975.1	GCA_037216735.1	37751291	32994898	72274759	60607567	CPswu_hap2	CPswu_hap1	NA	NA	1061050268	1000637296	Chromosome	Chromosome	Chrysolophus pictus
SAMN29828597	Mesoplodon densirostris	mammal	Mesoplodon	Ziphiidae	Artiodactyla	Mammalia	species	true	false	VGP	GCA_025265405.1	GCA_025094165.1	48253041	1393376	125805690	1393376	mMesDen1 primary haplotype	mMesDen1 alternate haplotype	GCF_025265405.1	NA	2683375131	2376281363	Chromosome	Scaffold	Mesoplodon densirostris
SAMN30216103	Symphalangus syndactylus	mammal	Symphalangus	Hylobatidae	Primates	Mammalia	species	true	true	Other	GCA_028878055.3	GCA_028878085.3	146713733	144673617	146713733	144673617	NHGRI_mSymSyn1-v2.1_pri	NHGRI_mSymSyn1-v2.0_alt	GCF_028878055.3	NA	3262887708	3097367794	Complete Genome	Chromosome	Symphalangus syndactylus
SAMN30216104	Pan troglodytes	mammal	Pan	Hominidae	Primates	Mammalia	species	true	true	Other	GCA_028858775.2	GCA_028858805.2	146288486	140842815	146288486	140842815	NHGRI_mPanTro3-v2.0_pri	NHGRI_mPanTro3-v2.0_alt	GCF_028858775.2	NA	3177739762	2998472174	Complete Genome	Complete Genome	Pan troglodytes
SAMN30225125	Antrozous pallidus	mammal	Antrozous	Vespertilionidae	Chiroptera	Mammalia	species	true	false	Other EBP	GCA_027563665.1	GCA_027595915.1	41887785	8507010	114648712	NA	DD_ASM_mAP_20210503	DD_ASM_mAP_20210503_alt	NA	NA	2126443499	2110195735	Chromosome	Contig	Antrozous pallidus
SAMN30523592	Plestiodon gilberti rubricaudatus	reptile	Plestiodon	Scincidae	Squamata	Lepidosauria	subspecies	true	false	CCGP	GCA_026170595.1	GCA_026170395.1	127798174	127845512	231322181	184425444	rPleGil1.0.hap2	rPleGil1.0.hap1	NA	NA	1571222493	1447213922	Scaffold	Scaffold	Plestiodon gilberti rubricaudatus
SAMN30523671	Melanerpes formicivorus	bird	Melanerpes	Picidae	Piciformes	Aves	species	true	false	CCGP	GCA_026170545.2	GCA_026170555.1	1471937	1399318	12675290	11992614	bMelFor1.0.p_v2	bMelFor1.0.a	GCF_026170545.1	NA	1323528184	1438781011	Scaffold	Scaffold	Melanerpes formicivorus
SAMN30523672	Cyanocitta stelleri	bird	Cyanocitta	Corvidae	Passeriformes	Aves	species	true	false	CCGP	GCA_026167965.1	GCA_026168045.1	7854909	6633807	25842608	27786026	bCyaSte1.0.p	bCyaSte1.0.a	NA	NA	1162948050	1177494911	Scaffold	Scaffold	Cyanocitta stelleri
SAMN30526064	Myotis yumanensis	mammal	Myotis	Vespertilionidae	Chiroptera	Mammalia	species	true	false	CCGP	GCA_028538775.1	GCA_028536395.1	28025655	26795370	99144700	94205551	mMyoYum1.0.hap1	mMyoYum1.0.hap2	NA	NA	1952483305	2050521808	Scaffold	Scaffold	Myotis yumanensis
SAMN30567381	Puma concolor	mammal	Puma	Felidae	Carnivora	Mammalia	species	true	false	CCGP	GCA_028749965.3	GCA_028749985.3	65828543	42297498	149508014	149756039	mPumCon1.1.hap2	mPumCon1.1.hap1	NA	NA	2368682789	2501068434	Chromosome	Chromosome	Puma concolor
SAMN30617509	Nomascus leucogenys	mammal	Nomascus	Hylobatidae	Primates	Mammalia	species	true	false	Other	GCA_030221915.1	GCA_030222095.1	44672148	34128433	NA	NA	ASM3022191v1	ASM3022209v1	NA	NA	3035525471	3080596368	Contig	Contig	Nomascus leucogenys
SAMN30617510	Macaca mulatta	mammal	Macaca	Cercopithecidae	Primates	Mammalia	species	true	false	Other	GCA_030222105.1	GCA_030222085.1	18807299	19013935	NA	NA	AG07107_MMU_hifiasm-v0.15.2.pri	AG07107_MMU_hifiasm-v0.15.2.alt	NA	NA	3105703653	3117211799	Contig	Contig	Macaca mulatta
SAMN30617512	Aotus nancymaae	mammal	Aotus	Aotidae	Primates	Mammalia	species	true	false	Other	GCA_030222135.1	GCA_030222175.1	55915596	43413498	NA	NA	86718_ANA_hifiasm-v0.15.2.pri	86718_ANA_hifiasm-v0.15.2.alt	GCF_030222135.1	NA	3097886253	3040582840	Contig	Contig	Aotus nancymaae
SAMN31076064	Otocolobus manul	mammal	Otocolobus	Felidae	Carnivora	Mammalia	species	false	true	Other	GCA_028564725.2	GCA_028554675.1	118180270	118039010	151944179	NA	OtoMan_p1.0	OtoMan_a1.0	NA	NA	2487665568	2484282002	Chromosome	Contig	Otocolobus manul
SAMN31394215	Malaclemys terrapin pileata	reptile	Malaclemys	Emydidae	Testudines	NA	subspecies	true	false	VGP	GCA_027887155.1	GCA_027887205.1	75591180	97701506	144565223	143972775	rMalTer1.hap1	rMalTer1.hap2	GCF_027887155.1	NA	2211221380	2212837039	Chromosome	Chromosome	Malaclemys terrapin pileata
SAMN31530492	Harpia harpyja	bird	Harpia	Accipitridae	Accipitriformes	Aves	species	true	false	VGP	GCA_026419915.1	GCA_026419925.1	16799191	730899	58111031	730899	bHarHar1 primary haplotype	bHarHar1	GCF_026419915.1	NA	1351447071	1185324778	Chromosome	Scaffold	Harpia harpyja
SAMN31536034	Gila orcuttii	ray-finned fish	Gila	Leuciscidae	Cypriniformes	Actinopteri	species	true	false	CCGP	GCA_026230005.1	GCA_026230025.1	13138541	14561125	50480577	49135603	fGilOrc1.0.hap1	fGilOrc1.0.hap2	NA	NA	1263410250	1272848069	Scaffold	Scaffold	Gila orcuttii
SAMN31536049	Eucyclogobius newberryi	ray-finned fish	Eucyclogobius	Gobiidae	Gobiiformes	Actinopteri	species	true	false	CCGP	GCA_026437355.1	GCA_026437365.1	1700290	1988651	39256509	38890901	fEucNew1.0.hap2	fEucNew1.0.hap1	NA	NA	913837424	984795555	Scaffold	Scaffold	Eucyclogobius newberryi
SAMN31536067	Corynorhinus townsendii	mammal	Corynorhinus	Vespertilionidae	Chiroptera	Mammalia	species	true	false	CCGP	GCA_026230045.1	GCA_026230055.1	22150609	23382908	177756282	174690156	mCorTow1.0.hap2	mCorTow1.0.hap1	NA	NA	1961562149	2104896501	Scaffold	Scaffold	Corynorhinus townsendii
SAMN31669488	Hemicordylus capensis	reptile	Hemicordylus	Cordylidae	Squamata	Lepidosauria	species	true	false	Other	GCA_027244095.1	GCA_027244105.1	160691000	95103	359646233	NA	rHemCap1.1.pri	rHemCap1.1.alt	GCF_027244095.1	NA	2294751221	2930984251	Chromosome	Contig	Hemicordylus capensis
SAMN31719513	Kogia breviceps	mammal	Kogia	Physeteridae	Artiodactyla	Mammalia	species	unknown	unknown	VGP	GCA_026419965.1	GCA_026419985.1	42780423	40421539	122394096	120411150	mKogBre1 haplotype 1	mKogBre1 haplotype 2	GCF_026419965.1	NA	2555838840	2613416393	Chromosome	Chromosome	Kogia breviceps
SAMN31801959	Podargus strigoides	bird	Podargus	Podargidae	Caprimulgiformes	Aves	species	true	false	VGP	GCA_028020825.1	GCA_028020675.1	11637970	4352998	58393285	4352998	bPodStr1.pri	bPodStr1.alt	NA	NA	1271141449	977391185	Chromosome	Scaffold	Podargus strigoides
SAMN31801966	Monodelphis domestica	mammal	Monodelphis	Didelphidae	Didelphimorphia	Mammalia	species	true	false	VGP	GCA_027887165.1	GCA_027917375.1	3910714	887471	538302405	897688	mMonDom1.pri	mMonDom1.alt	GCF_027887165.1	NA	3586166573	2616995731	Chromosome	Scaffold	Monodelphis domestica
SAMN31801981	Neofelis nebulosa	mammal	Neofelis	Felidae	Carnivora	Mammalia	species	true	false	VGP	GCA_028018385.1	GCA_028018655.1	51579577	381041	150204169	NA	mNeoNeb1.pri	mNeoNeb1.alt	GCF_028018385.1	NA	2468345093	1980212524	Chromosome	Contig	Neofelis nebulosa
SAMN31802211	Odontesthes bonariensis	ray-finned fish	Odontesthes	Atherinopsidae	Atheriniformes	Actinopteri	species	true	false	VGP	GCA_027942865.1	GCA_027942885.1	9831534	8493506	39252737	30591051	fOdoBon6.hap1	fOdoBon6.hap2	NA	NA	945823896	974945057	Chromosome	Scaffold	Odontesthes bonariensis
SAMN31805221	Emys orbicularis	reptile	Emys	Emydidae	Testudines	NA	species	true	false	VGP	GCA_028017835.1	GCA_028017845.1	91255289	54020573	146456333	135176522	rEmyOrb1.hap1	rEmyOrb1.hap2	GCF_028017835.1	NA	2309740635	2327425914	Chromosome	Scaffold	Emys orbicularis
SAMN31805274	Gastrophryne carolinensis	amphibian	Gastrophryne	Microhylidae	Anura	Amphibia	species	true	false	VGP	GCA_027917425.1	GCA_027917415.1	4962642	4840928	489283037	483855963	aGasCar1.pri	aGasCar1.hap2	NA	NA	4336248441	4305890454	Chromosome	Chromosome	Gastrophryne carolinensis
SAMN31837211	Microtus californicus	mammal	Microtus	Cricetidae	Rodentia	Mammalia	species	true	false	CCGP	GCA_028537955.1	GCA_028537755.1	49752295	45668671	83674487	76329214	mMicCal1.0.hap1	mMicCal1.0.hap2	NA	NA	2299490594	2142917481	Scaffold	Scaffold	Microtus californicus
SAMN31837216	Aphelocoma californica	bird	Aphelocoma	Corvidae	Passeriformes	Aves	species	true	false	CCGP	GCA_028536675.1	GCA_028536645.1	11534525	11670509	66144195	65728546	bAphCal1.0.hap1	bAphCal1.0.hap2	NA	NA	1348482404	1191279315	Scaffold	Scaffold	Aphelocoma californica
SAMN32104255	Rissa tridactyla	bird	Rissa	Laridae	Charadriiformes	Aves	species	true	false	VGP	GCA_028500815.1	GCA_028501385.1	15653959	18169445	88208671	82691832	bRisTri1.patW.cur.20221130	bRisTri1.mat.cur.20221130	GCF_028500815.1	NA	1353621101	1268441171	Chromosome	Chromosome	Rissa tridactyla
