"","assembly_bio_sample_accession","scientific_name","assembly_id_pri","taxonomic_group","assemblyInfo_biosample_geoLocName","assemblyInfo_biosample_latLon","assemblyInfo_comments","geo_location","latlon","lat","lon"
"165","SAMN03283347","Homo sapiens","GCA_018852615.3","mammal",NA,NA,NA,NA,NA,NA,NA
"166","SAMN03496275","Gopherus evgoodei","GCA_007399415.1","reptile",NA,NA,NA,NA,NA,NA,NA
"167","SAMN04003007","Gorilla gorilla gorilla","GCA_028885475.2","mammal",NA,NA,NA,NA,NA,NA,NA
"168","SAMN04159679","Arctocephalus gazella","GCA_040869175.1","mammal","missing",NA,NA,"missing",NA,50.0505667,2.6856694
"169","SAMN08537700","Ornithorhynchus anatinus","GCA_004115215.4","mammal",NA,NA,NA,NA,NA,NA,NA
"170","SAMN09948510","Rhinolophus ferrumequinum","GCA_004115265.3","mammal",NA,NA,NA,NA,NA,NA,NA
"171","SAMN09948522","Archocentrus centrarchus","GCA_007364275.2","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"172","SAMN09948786","Phyllostomus discolor","GCA_004126475.3","mammal",NA,NA,NA,NA,NA,NA,NA
"173","SAMN10521808","Pongo abelii","GCA_028885655.2","mammal",NA,NA,NA,NA,NA,NA,NA
"174","SAMN10521809","Pongo pygmaeus","GCA_028885625.2","mammal",NA,NA,NA,NA,NA,NA,NA
"175","SAMN11104991","Bubalus bubalis","GCA_019923935.1","mammal",NA,NA,NA,NA,NA,NA,NA
"176","SAMN12287136","Balaenoptera musculus","GCA_009873245.3","mammal",NA,NA,NA,NA,NA,NA,NA
"177","SAMN12292087","Alca torda","GCA_008658365.1","bird","Denmark: Graesholm Island","55.2833 N 9.8 E","This assembly represents the principal pseudohaplotype of the diploid genome Alca torda and includes the chromosomes. The alternate pseudohaplotype sequences are in WGS project VMEC00000000.","Denmark: Graesholm Island","55.2833 N 9.8 E",55.2833,9.8
"178","SAMN12326775","Tursiops truncatus","GCA_011762515.1","mammal","USA: Baltimore, Maryland","39.2851 N 76.6083 W","This assembly represents the paternal haplotype of the diploid genome Tursiops truncatus. The trio assembly merged haplotype data are in WGS project JAAOMD000000000. The maternal haplotype sequences are in WGS project JAAOMB000000000","USA: Baltimore, Maryland","39.2851 N 76.6083 W",39.2851,-76.6083
"179","SAMN12368149","Zalophus californianus","GCA_009762305.2","mammal",NA,NA,NA,NA,NA,NA,NA
"180","SAMN12368441","Corvus moneduloides","GCA_009650955.1","bird",NA,NA,NA,NA,NA,NA,NA
"181","SAMN12368443","Callithrix jacchus","GCA_011100535.2","mammal","USA: New York","40.762676 N 73.955541 W",NA,"USA: New York","40.762676 N 73.955541 W",40.762676,-73.955541
"182","SAMN12369541","Sterna hirundo","GCA_009819605.1","bird","Germany: Wilhelmshaven, Lower Saxonia","53.52998 N 8.11253 E","This assembly represents the principal haplotype of the diploid genome Sterna hirundo and includes the chromosomes. The alternate haplotype sequences are in WGS project WNMX00000000","Germany: Wilhelmshaven, Lower Saxonia","53.52998 N 8.11253 E",53.52998,8.11253
"183","SAMN12369542","Sylvia atricapilla","GCA_009819655.1","bird",NA,NA,NA,NA,NA,NA,NA
"184","SAMN12611849","Arvicanthis niloticus","GCA_011762545.1","mammal","USA: Santa Barbara","34.41938 N 119.69905 W","This assembly represents the paternal haplotype of the diploid genome Arvicanthis niloticus. The trio assembly merged haplotype data are in WGS project JAAOMG000000000. The maternal haplotype sequences are in WGS project JAAOME000000000","USA: Santa Barbara","34.41938 N 119.69905 W",34.41938,-119.69905
"185","SAMN12612024","Choloepus didactylus","GCA_015220235.1","mammal",NA,NA,NA,NA,NA,NA,NA
"186","SAMN12612337","Tamandua tetradactyla","GCA_023851605.1","mammal","Guyana","4.917311 N 58.943462 W","Order and orientation of scaffolds uncertain for chromosome 3 from 71.33-78.83 Mb and chromosome 12 from 15.17-21.29 Mb.","Guyana","4.917311 N 58.943462 W",4.917311,-58.943462
"187","SAMN12612360","Chelonia mydas","GCA_015237465.2","reptile",NA,NA,NA,NA,NA,NA,NA
"188","SAMN12614799","Bucorvus abyssinicus","GCA_009769605.1","bird","Denmark: Copenhagen Zoo","55.67278 N 12.52139 E","This assembly represents the principal haplotype of the diploid genome Bucorvus abyssinicus and includes the chromosomes. The alternate haplotype sequences are in WGS project WNMH00000000","Denmark: Copenhagen Zoo","55.67278 N 12.52139 E",55.67278,12.52139
"189","SAMN12614807","Cariama cristata","GCA_009819825.1","bird","Denmark: Copenhagen Zoo","55.67278 N 12.52139 E","This assembly represents the principal haplotype of the diploid genome Cariama cristata and includes the chromosomes. The alternate haplotype sequences are in WGS project WNMP00000000","Denmark: Copenhagen Zoo","55.67278 N 12.52139 E",55.67278,12.52139
"190","SAMN12614931","Phoenicopterus ruber ruber","GCA_009819775.1","bird","Denmark: Copenhagen Zoo","55.67278 N 12.52139 E","This assembly represents the principal haplotype of the diploid genome Phoenicopterus ruber ruber and includes the chromosomes. The alternate haplotype sequences are in WGS project WNML00000000","Denmark: Copenhagen Zoo","55.67278 N 12.52139 E",55.67278,12.52139
"191","SAMN12615749","Balearica regulorum gibbericeps","GCA_011004875.1","bird","Denmark: Copenhagen Zoo","55.67278 N 12.52139 E","This assembly represents the principal haplotype of the diploid genome Balearica regulorum gibbericeps and includes the chromosomes. The alternate haplotype sequences are in WGS project JAAIYD000000000","Denmark: Copenhagen Zoo","55.67278 N 12.52139 E",55.67278,12.52139
"192","SAMN12618602","Catharus ustulatus","GCA_009819885.2","bird",NA,NA,NA,NA,NA,NA,NA
"193","SAMN12618613","Sylvia borin","GCA_014839755.1","bird","Italy: Ponza Island","40.9293 N 12.949173 E","This assembly represents the principal haplotype of the diploid genome Sylvia borin and includes the chromosomes. The alternate haplotype sequences are in WGS project JACEWF000000000","Italy: Ponza Island","40.9293 N 12.949173 E",40.9293,12.949173
"194","SAMN12620979","Chiroxiphia lanceolata","GCA_009829145.1","bird",NA,NA,NA,NA,NA,NA,NA
"195","SAMN12621035","Merops nubicus","GCA_009819595.1","bird","Denmark: Copenhagen Zoo","55.67278 N 12.52139 E","This assembly represents the principal haplotype of the diploid genome Merops nubicus and includes the chromosomes. The alternate haplotype sequences are in WGS project WNMV00000000","Denmark: Copenhagen Zoo","55.67278 N 12.52139 E",55.67278,12.52139
"196","SAMN12621036","Tauraco erythrolophus","GCA_009769465.1","bird","Denmark: Copenhagen Zoo","55.67278 N 12.52139 E","This assembly represents the principal haplotype of the diploid genome Tauraco erythrolophus and includes the chromosomes. The alternate haplotype sequences are in WGS project WOXX00000000","Denmark: Copenhagen Zoo","55.67278 N 12.52139 E",55.67278,12.52139
"197","SAMN12621102","Lemur catta","GCA_020740605.1","mammal",NA,NA,NA,NA,NA,NA,NA
"198","SAMN12621346","Aythya fuligula","GCA_009819795.1","bird",NA,NA,NA,NA,NA,NA,NA
"199","SAMN12621369","Cygnus olor","GCA_009769625.2","bird",NA,NA,NA,NA,NA,NA,NA
"200","SAMN12622411","Nyctibius grandis","GCA_013368605.1","bird","Guyana: St. Cuthbert's Mission Road, Linden Highway","6.18 N 58.13 W","This assembly represents the principal haplotype of the diploid genome Nyctibius grandis and includes the chromosomes. The alternate haplotype sequences are in WGS project JABXNW000000000","Guyana: St. Cuthbert's Mission Road, Linden Highway","6.18 N 58.13 W",6.18,-58.13
"201","SAMN12623090","Melopsittacus undulatus","GCA_012275265.1","bird","USA: New Mexico State University","32.278282 N 106.74994 W",NA,"USA: New Mexico State University","32.278282 N 106.74994 W",32.278282,-106.74994
"202","SAMN12623201","Notolabrus celidotus","GCA_009762535.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"203","SAMN12623217","Pterocles gutturalis","GCA_009769525.1","bird","Tanzania","6 S 35 E","This assembly represents the principal haplotype of the diploid genome Pterocles gutturalis and includes the chromosomes. The alternate haplotype sequences are in WGS project WNNF00000000","Tanzania","6 S 35 E",-6,35
"204","SAMN12623616","Scatophagus argus","GCA_020382885.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"205","SAMN12623618","Melanotaenia boesemani","GCA_017639745.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"206","SAMN12623619","Megalops cyprinoides","GCA_013368585.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"207","SAMN12623620","Chelmon rostratus","GCA_017976325.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"208","SAMN12623621","Aplochiton taeniatus","GCA_017639675.1","ray-finned fish","Chile: Santo Domingo River, Valdivia, Los Rios district","39.917592 S 73.107197 W",NA,"Chile: Santo Domingo River, Valdivia, Los Rios district","39.917592 S 73.107197 W",-39.917592,-73.107197
"209","SAMN12623622","Xenentodon cancila","GCA_014839995.1","ray-finned fish","Netherlands: Dejong Marinelife, Rotterdam","51.9244201 N 4.4777325 E","This assembly represents the principal haplotype of the diploid genome Xenentodon cancila and includes the chromosomes. The alternate haplotype sequences are in WGS project JABWDR000000000","Netherlands: Dejong Marinelife, Rotterdam","51.9244201 N 4.4777325 E",51.9244201,4.4777325
"210","SAMN12623625","Electrophorus electricus","GCA_013358815.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"211","SAMN12623626","Antennarius maculatus","GCA_013358685.1","ray-finned fish","Netherlands: Dejong Marinelife, Rotterdam","51.9244201 N 4.4777325 E","This assembly represents the principal haplotype of the diploid genome Antennarius maculatus and includes the chromosomes. The alternate haplotype sequences are in WGS project JABVMD000000000","Netherlands: Dejong Marinelife, Rotterdam","51.9244201 N 4.4777325 E",51.9244201,4.4777325
"212","SAMN12623627","Anguilla anguilla","GCA_013347855.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"213","SAMN12629497","Dryobates pubescens","GCA_014839835.1","bird",NA,NA,NA,NA,NA,NA,NA
"214","SAMN12629499","Thamnophis elegans","GCA_009769535.1","reptile",NA,NA,NA,NA,NA,NA,NA
"215","SAMN12629500","Periophthalmus magnuspinnatus","GCA_009829125.3","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"216","SAMN12629501","Hippoglossus hippoglossus","GCA_009819705.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"217","SAMN12629502","Cyclopterus lumpus","GCA_009769545.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"218","SAMN12629503","Sebastes umbrosus","GCA_015220745.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"219","SAMN12629505","Pristis pectinata","GCA_009764475.2","cartilaginous fish",NA,NA,NA,NA,NA,NA,NA
"220","SAMN12629506","Petromyzon marinus","GCA_010993605.1","jawless fish",NA,NA,NA,NA,NA,NA,NA
"221","SAMN12629507","Trichosurus vulpecula","GCA_011100635.1","mammal",NA,NA,NA,NA,NA,NA,NA
"222","SAMN12629508","Cuculus canorus","GCA_017976375.1","bird",NA,NA,NA,NA,NA,NA,NA
"223","SAMN12629509","Lacerta agilis","GCA_009819535.1","reptile",NA,NA,NA,NA,NA,NA,NA
"224","SAMN12631222","Geothlypis trichas","GCA_009764595.1","bird","USA: Wisconsin","43.23 N 88.01 W","This assembly represents the principal haplotype of the diploid genome Geothlypis trichas and includes the chromosomes. The alternate haplotype sequences are in WGS project WSPK00000000.","USA: Wisconsin","43.23 N 88.01 W",43.23,-88.01
"225","SAMN12634963","Tachyglossus aculeatus","GCA_015852505.1","mammal",NA,NA,NA,NA,NA,NA,NA
"226","SAMN13935689","Pan paniscus","GCA_028858825.2","mammal",NA,NA,NA,NA,NA,NA,NA
"227","SAMN14169820","Mastacembelus armatus","GCA_019455525.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"228","SAMN14441686","Poecilia formosa","GCA_013036135.2","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"229","SAMN14675488","Hirundo rustica","GCA_015227805.3","bird",NA,NA,NA,NA,NA,NA,NA
"230","SAMN15098508","Pogoniulus pusillus","GCA_015220805.1","bird",NA,NA,NA,NA,NA,NA,NA
"231","SAMN15960293","Gallus gallus","GCA_016699485.1","bird",NA,NA,NA,NA,NA,NA,NA
"232","SAMN16093224","Motacilla alba alba","GCA_015832195.1","bird",NA,NA,NA,NA,NA,NA,NA
"233","SAMN16442762","Acanthisitta chloris","GCA_016904835.1","bird","New Zealand","43.464458 S 171.791763 E",NA,"New Zealand","43.464458 S 171.791763 E",-43.464458,171.791763
"234","SAMN16870685","Falco naumanni","GCA_017639655.1","bird",NA,NA,NA,NA,NA,NA,NA
"235","SAMN18353822","Ciconia maguari","GCA_017639555.1","bird","Argentina: Estancia El Tala, near Puerto Constanza","33.2599 S 64.8519 W",NA,"Argentina: Estancia El Tala, near Puerto Constanza","33.2599 S 64.8519 W",-33.2599,-64.8519
"236","SAMN18353970","Pluvialis apricaria","GCA_017639485.1","bird","Iceland: Keflavik Naval Air Station","63.971667 N 22.601111 W",NA,"Iceland: Keflavik Naval Air Station","63.971667 N 22.601111 W",63.971667,-22.601111
"237","SAMN18445299","Toxotes jaculatrix","GCA_017976425.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"238","SAMN18719720","Ovis aries","GCA_022702505.1","mammal",NA,NA,NA,NA,NA,NA,NA
"239","SAMN18857598","Dromiciops gliroides","GCA_019393635.1","mammal",NA,NA,NA,NA,NA,NA,NA
"240","SAMN18857608","Alosa sapidissima","GCA_018492685.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"241","SAMN20391724","Jaculus jaculus","GCA_020740685.1","mammal",NA,NA,NA,NA,NA,NA,NA
"242","SAMN21436765","Actinemys marmorata","GCA_022086475.1","reptile","USA: Putah Creek, Davis, CA","38.517263 N 121.751965 W",NA,"USA: Putah Creek, Davis, CA","38.517263 N 121.751965 W",38.517263,-121.751965
"243","SAMN22026095","Rutilus rutilus","GCA_021464565.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"244","SAMN22028852","Leuciscus idus","GCA_021554675.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"245","SAMN22047685","Diceros bicornis minor","GCA_020826845.1","mammal",NA,NA,NA,NA,NA,NA,NA
"246","SAMN22141988","Scomber colias","GCA_021039105.1","ray-finned fish","Portugal","40.5588270 N 9.4529720 W",NA,"Portugal","40.5588270 N 9.4529720 W",40.558827,-9.452972
"247","SAMN22550082","Trogon surrucura","GCA_020746105.1","bird","Argentina: Posadas, Misiones","26.955278 S 55.087778 W",NA,"Argentina: Posadas, Misiones","26.955278 S 55.087778 W",-26.955278,-55.087778
"248","SAMN22550094","Theristicus caerulescens","GCA_020745775.1","bird","Uruguay: Rocha","33.741944 S 53.746111 W",NA,"Uruguay: Rocha","33.741944 S 53.746111 W",-33.741944,-53.746111
"249","SAMN22550098","Hemiscyllium ocellatum","GCA_020745735.1","cartilaginous fish",NA,NA,NA,NA,NA,NA,NA
"250","SAMN22550412","Porphyrio hochstetteri","GCA_020800305.1","bird","New Zealand: Burwood","43.499998 S 172.6999972 E",NA,"New Zealand: Burwood","43.499998 S 172.6999972 E",-43.499998,172.6999972
"251","SAMN22588383","Hemiprocne comata","GCA_020745705.1","bird","Philippines: Cagayan, Luzon Island (Barrio Via Sitio Hot Springs Baggao Mun.)","17.85 N 121.98 E",NA,"Philippines: Cagayan, Luzon Island (Barrio Via Sitio Hot Springs Baggao Mun.)","17.85 N 121.98 E",17.85,121.98
"252","SAMN22589422","Tautogolabrus adspersus","GCA_020745685.1","ray-finned fish","Canada: Alderney Landing, Halifax","44.66 N 63.57 W",NA,"Canada: Alderney Landing, Halifax","44.66 N 63.57 W",44.66,-63.57
"253","SAMN22785356","Apus apus","GCA_020740795.1","bird",NA,NA,NA,NA,NA,NA,NA
"254","SAMN22787412","Melospiza georgiana","GCA_028018845.1","bird",NA,NA,NA,NA,NA,NA,NA
"255","SAMN23046545","Carassius gibelio","GCA_023724105.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"256","SAMN23235441","Panthera pardus","GCA_024362965.1","mammal",NA,NA,NA,NA,NA,NA,NA
"257","SAMN23391104","Lynx rufus","GCA_022079265.1","mammal",NA,NA,NA,NA,NA,NA,NA
"258","SAMN23532249","Phaethornis superciliosus","GCA_023637945.1","bird","Brazil: Gunma Ecological Park",NA,NA,"Brazil: Gunma Ecological Park",NA,-1.2109,-48.2951
"259","SAMN23846333","Bos indicus","GCA_030270825.1","mammal","China: Yunnan Province",NA,NA,"China: Yunnan Province",NA,25,102
"260","SAMN24116476","Desmodus rotundus","GCA_022682495.2","mammal","Suriname: Sabajo, Para",NA,NA,"Suriname: Sabajo, Para",NA,5.7258672,-55.2151905
"261","SAMN24199108","Gopherus flavomarginatus","GCA_025201925.1","reptile",NA,NA,NA,NA,NA,NA,NA
"262","SAMN24505262","Laterallus jamaicensis coturniculus","GCA_022605575.1","bird","USA: California","39.10199148 N 121.29163772 W",NA,"USA: California","39.10199148 N 121.29163772 W",39.10199148,-121.29163772
"263","SAMN24505263","Rallus limicola","GCA_022605955.1","bird","USA: California","39.09459919 N 121.28218436 W",NA,"USA: California","39.09459919 N 121.28218436 W",39.09459919,-121.28218436
"264","SAMN24662200","Epinephelus malabaricus","GCA_037127435.1","ray-finned fish","Japan: Okinawa, governmental aquaculture farm","26.655035 N 127.881294 E",NA,"Japan: Okinawa, governmental aquaculture farm","26.655035 N 127.881294 E",26.655035,127.881294
"265","SAMN24818160","Arizona elegans","GCA_022577455.1","reptile","USA: Fairbanks ranch, San Diego Co, CA","33.0007 N 117.20366 W",NA,"USA: Fairbanks ranch, San Diego Co, CA","33.0007 N 117.20366 W",33.0007,-117.20366
"266","SAMN25050720","Squalius cephalus","GCA_022829025.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"267","SAMN25064631","Vimba vimba","GCA_022828995.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"268","SAMN25144835","Lagopus muta","GCA_023343835.1","bird",NA,NA,NA,NA,NA,NA,NA
"269","SAMN25211113","Zingel zingel","GCA_023566125.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"270","SAMN25220526","Romanogobio albipinnatus","GCA_023566225.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"271","SAMN25656429","Semicossyphus pulcher","GCA_022749685.1","ray-finned fish",NA,"34.04409 N 118.9339 W",NA,NA,"34.04409 N 118.9339 W",34.04409,-118.9339
"272","SAMN25872349","Crotalus helleri","GCA_024509115.1","reptile","USA: Foothill Dr in Fillmore, Ventrura Co., CA","34.412655 N 118.915686 W",NA,"USA: Foothill Dr in Fillmore, Ventrura Co., CA","34.412655 N 118.915686 W",34.412655,-118.915686
"273","SAMN25872352","Cebidichthys violaceus","GCA_023349555.1","ray-finned fish",NA,"36.635559 N 121.926191 W",NA,NA,"36.635559 N 121.926191 W",36.635559,-121.926191
"274","SAMN25872353","Elgaria multicarinata webbii","GCA_023053635.2","reptile",NA,NA,NA,NA,NA,NA,NA
"275","SAMN25872408","Aspidoscelis tigris stejnegeri","GCA_023333525.1","reptile","USA: Wild Colt Place, Jamul, San Diego County, California","32.7421123 N 116.854298 W",NA,"USA: Wild Colt Place, Jamul, San Diego County, California","32.7421123 N 116.854298 W",32.7421123,-116.854298
"276","SAMN25872410","Diadophis punctatus similis","GCA_023053685.1","reptile","USA: Camino Del Sur and Bing Crosby Blvd, 4S Ranch, San Diego County, CA","33.0214 N 117.1451 W",NA,"USA: Camino Del Sur and Bing Crosby Blvd, 4S Ranch, San Diego County, CA","33.0214 N 117.1451 W",33.0214,-117.1451
"277","SAMN25872472","Actinemys pallida","GCA_023634205.1","reptile",NA,"35.9276 N 120.26566 W",NA,NA,"35.9276 N 120.26566 W",35.9276,-120.26566
"278","SAMN25872474","Agelaius tricolor","GCA_023055355.1","bird",NA,"36.4692 N 121.7914 W",NA,NA,"36.4692 N 121.7914 W",36.4692,-121.7914
"279","SAMN26209533","Thymallus thymallus","GCA_023634145.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"280","SAMN26292693","Cottus gobio","GCA_023566465.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"281","SAMN26292694","Gymnocephalus cernua","GCA_023631565.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"282","SAMN26367981","Thamnophis sirtalis fitchi","GCA_029207655.1","reptile",NA,"40.29066 N 120.929847 W",NA,NA,"40.29066 N 120.929847 W",40.29066,-120.929847
"283","SAMN26367999","Charina bottae","GCA_023362775.1","reptile","USA: San Mateo County, California","37.492778 N 122.366528 W",NA,"USA: San Mateo County, California","37.492778 N 122.366528 W",37.492778,-122.366528
"284","SAMN26368113","Clinocottus analis","GCA_023055335.1","ray-finned fish",NA,"36.635559 N 121.926191 W",NA,NA,"36.635559 N 121.926191 W",36.635559,-121.926191
"285","SAMN26747300","Sander lucioperca","GCA_023718385.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"286","SAMN26894057","Callipepla californica brunnescens","GCA_023055505.1","bird","USA: Cow Mountains Recreation Management Area, Mayacamas Mts., Lake Co., California","39.08005 N 123.0891 W",NA,"USA: Cow Mountains Recreation Management Area, Mayacamas Mts., Lake Co., California","39.08005 N 123.0891 W",39.08005,-123.0891
"287","SAMN27021044","Clarias gariepinus","GCA_024256435.1","ray-finned fish","Germany: Rostock",NA,NA,"Germany: Rostock",NA,54.0886707,12.1400211
"288","SAMN27480378","Sceloporus occidentalis","GCA_023333645.1","reptile","USA: California","37.72642 N 119.38959 W",NA,"USA: California","37.72642 N 119.38959 W",37.72642,-119.38959
"289","SAMN28052917","Channallabes apus","GCA_030522415.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"290","SAMN28408464","Vipera latastei","GCA_024294585.1","reptile","Spain: Beceite","40.831619 N 0.183031 E",NA,"Spain: Beceite","40.831619 N 0.183031 E",40.831619,0.183031
"291","SAMN28408465","Spheniscus humboldti","GCA_027474245.1","bird","Denmark: Copenhagen","55.6724 N 12.5214 E",NA,"Denmark: Copenhagen","55.6724 N 12.5214 E",55.6724,12.5214
"292","SAMN28408467","Spea bombifrons","GCA_027358695.2","amphibian",NA,NA,NA,NA,NA,NA,NA
"293","SAMN28408555","Nycticebus coucang","GCA_027406575.1","mammal",NA,NA,NA,NA,NA,NA,NA
"294","SAMN28421630","Ammospiza caudacuta","GCA_027887145.1","bird",NA,NA,NA,NA,NA,NA,NA
"295","SAMN28421656","Ammospiza nelsoni","GCA_027579445.1","bird",NA,NA,NA,NA,NA,NA,NA
"296","SAMN28453209","Neoarius graeffei","GCA_027579695.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"297","SAMN28453576","Haemorhous mexicanus","GCA_027477595.1","bird",NA,NA,NA,NA,NA,NA,NA
"298","SAMN28454388","Acridotheres tristis","GCA_027559615.1","bird","Israel: Tel Aviv","32.11339733 N 34.80909311 E",NA,"Israel: Tel Aviv","32.11339733 N 34.80909311 E",32.11339733,34.80909311
"299","SAMN28688204","Falco cherrug","GCA_023634085.1","bird",NA,NA,NA,NA,NA,NA,NA
"300","SAMN28688289","Falco biarmicus","GCA_023638135.1","bird",NA,NA,NA,NA,NA,NA,NA
"301","SAMN28688290","Falco peregrinus","GCA_023634155.1","bird",NA,NA,NA,NA,NA,NA,NA
"302","SAMN28772710","Pseudorasbora parva","GCA_024679245.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"303","SAMN28911188","Pleurodeles waltl","GCA_031143425.1","amphibian",NA,NA,"Chromosomes 1, 2, 3 and 4 have each been assembled into a single sequence. However, they had to be split into two or three pieces because those chromosome lengths exceed the technical limit of roughly 2.14 billion base pairs. All the pieces were treated as chromosomes, so the chromosome number for this assembly, aPleWal1.hap1.20221129, is 16.",NA,NA,NA,NA
"304","SAMN29044059","Setophaga petechia","GCA_024362935.1","bird","USA:California, Los Angeles County, Lake Los Angeles, Stephen Sorenson Park","34.60548611 N 117.83059167 W",NA,"USA:California, Los Angeles County, Lake Los Angeles, Stephen Sorenson Park","34.60548611 N 117.83059167 W",34.60548611,-117.83059167
"305","SAMN29044251","Perognathus longimembris","GCA_024363575.2","mammal","USA:California, Kern Co.; mouth Freeman Canyon","35.6091 N 117.92995 W",NA,"USA:California, Kern Co.; mouth Freeman Canyon","35.6091 N 117.92995 W",35.6091,-117.92995
"306","SAMN29044276","Peromyscus maniculatus sonoriensis","GCA_026229955.1","mammal","USA:California, Kern County, Cameron Creek, Tehachapi Mts.","35.09131 N 118.30937 W",NA,"USA:California, Kern County, Cameron Creek, Tehachapi Mts.","35.09131 N 118.30937 W",35.09131,-118.30937
"307","SAMN29046532","Dipodomys merriami","GCA_024711535.1","mammal","USA: California, Kern Co., mouth Freeman Canyon","35.6091 N 117.92995 W",NA,"USA: California, Kern Co., mouth Freeman Canyon","35.6091 N 117.92995 W",35.6091,-117.92995
"308","SAMN29046554","Phrynosoma blainvillii","GCA_026167975.1","reptile",NA,"33.5095 N 117.3689 W",NA,NA,"33.5095 N 117.3689 W",33.5095,-117.3689
"309","SAMN29046565","Ursus americanus","GCA_024610735.1","mammal","USA:California","39.2377 N 120.0266 W",NA,"USA:California","39.2377 N 120.0266 W",39.2377,-120.0266
"310","SAMN29174328","Elephas maximus indicus","GCA_024166365.1","mammal",NA,NA,NA,NA,NA,NA,NA
"311","SAMN29628500","Chrysolophus pictus","GCA_037305975.1","bird",NA,NA,NA,NA,NA,NA,NA
"312","SAMN29828597","Mesoplodon densirostris","GCA_025265405.1","mammal",NA,NA,NA,NA,NA,NA,NA
"313","SAMN30216103","Symphalangus syndactylus","GCA_028878055.3","mammal",NA,NA,NA,NA,NA,NA,NA
"314","SAMN30216104","Pan troglodytes","GCA_028858775.2","mammal",NA,NA,NA,NA,NA,NA,NA
"315","SAMN30225125","Antrozous pallidus","GCA_027563665.1","mammal","USA:Elephant Mountain, Brewster County, Texas",NA,NA,"USA:Elephant Mountain, Brewster County, Texas",NA,45.5158787,-69.4261634
"316","SAMN30523592","Plestiodon gilberti rubricaudatus","GCA_026170595.1","reptile","USA:San Diego Co, CA, From Deer Park abandoned ranch","33.2444 N 117.14492 W",NA,"USA:San Diego Co, CA, From Deer Park abandoned ranch","33.2444 N 117.14492 W",33.2444,-117.14492
"317","SAMN30523671","Melanerpes formicivorus","GCA_026170545.2","bird",NA,NA,NA,NA,NA,NA,NA
"318","SAMN30523672","Cyanocitta stelleri","GCA_026167965.1","bird","USA:Sonoma Co., California, Mitsui Ranch, Sonoma Mountain","38.33334 N 122.58060 W","The mitochondrial sequence JANXIP010000352 was generated with MitoHiFi (V2) using the Pica pica melanotos mitochondrial genome in GenBank accession MT792356.1 as a reference. There was no confirmation of circularity or completeness.","USA:Sonoma Co., California, Mitsui Ranch, Sonoma Mountain","38.33334 N 122.58060 W",38.33334,-122.5806
"319","SAMN30526064","Myotis yumanensis","GCA_028538775.1","mammal","USA:Plumas County, CA, City of Chester","40.31354 N 121.23335 W","The mitochondrial genome (sequence JAPQVT010000476.1) was generated with MitoHiFi (V2.2) using the existing Myotis yumanensis mitochondrial sequence (NC_036319.1) as a reference.","USA:Plumas County, CA, City of Chester","40.31354 N 121.23335 W",40.31354,-121.23335
"320","SAMN30567381","Puma concolor","GCA_028749965.3","mammal","USA: California","34.39 N 119.13 W","The chromosome assignments in the 02 versions of JAQJVZ000000000 and JAQJWA000000000 (the haplotype 1 and haplotype 2 assemblies of the Puma concolor isolate L17-30 genome, respectively) were made based on synteny to the cat genome assembly, GCF_018350175.1.","USA: California","34.39 N 119.13 W",34.39,-119.13
"321","SAMN30617509","Nomascus leucogenys","GCA_030221915.1","mammal",NA,NA,NA,NA,NA,NA,NA
"322","SAMN30617510","Macaca mulatta","GCA_030222105.1","mammal",NA,NA,NA,NA,NA,NA,NA
"323","SAMN30617512","Aotus nancymaae","GCA_030222135.1","mammal",NA,NA,NA,NA,NA,NA,NA
